,Main_Pollutant,Date,AQI_VALUE,Year,Month,Day,Hour,PM2.5,PM10,SO2,CO,Ozone,NO,NO2,NOx,maxtempC,mintempC,sunHour,uvIndex,uvIndex.1,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,PM10_AVG24H,PM2.5_AVG24H,SO2_AVG24H,CO_AVG8H,Ozone_AVG8H,NOx_AVG24H,PM10_SubIndex,PM2.5_SubIndex,SO2_SubIndex,CO_SubIndex,Ozone_SubIndex,NOx_SubIndex,Checks
0,PM2.5,2015-04-05,193.12,2015.0,4.0,5.0,11.5,116.36,236.9,25.85,1.59,46.92,99.12,124.4,149.31,30.0,18.0,11.6,6.0,4.17,12.17,26.54,27.21,26.96,8.25,4.17,41.33,0.0,1006.92,24.29,10.0,165.38,6.17,205.26,86.33,24.01,1.22,71.3,112.52,169.79,186.29,29.58,51.12,76.04,131.88,6.0
1,PM10,2015-04-06,220.75,2015.0,4.0,6.0,11.5,95.12,181.09,9.73,2.28,70.68,19.51,77.69,99.52,31.0,21.0,11.6,7.0,4.42,10.38,28.17,28.25,29.04,10.79,2.88,32.5,0.0,1007.33,26.0,10.0,293.29,8.79,230.56,81.98,12.0,1.95,71.67,66.79,205.79,171.92,14.46,64.38,76.04,82.54,6.0
2,NOx,2015-04-07,139.67,2015.0,4.0,7.0,5.5,90.28,235.54,5.52,1.33,19.88,2.4,26.21,77.97,31.0,21.0,11.6,7.0,3.92,11.67,28.0,28.17,28.67,8.0,3.0,36.33,0.0,1009.08,24.67,10.0,277.25,7.0,110.21,55.95,5.24,1.5,18.99,118.6,105.75,95.75,6.17,28.5,18.5,138.08,6.0
3,NOx,2015-04-08,173.83,2015.0,4.0,8.0,11.5,43.94,103.92,7.02,1.12,34.27,6.29,48.43,151.68,31.0,20.0,11.6,7.0,4.33,10.04,27.33,27.54,28.04,12.42,4.12,33.42,0.0,1011.17,25.79,10.0,262.5,10.17,89.8,38.27,7.28,1.11,32.96,154.45,89.25,63.17,8.54,46.12,32.46,173.83,6.0
4,PM10,2015-04-09,176.46,2015.0,4.0,9.0,11.5,85.01,240.84,10.32,1.38,55.46,75.1,59.53,136.34,32.0,21.0,11.6,7.0,4.5,11.79,30.21,30.25,30.88,13.67,0.5,32.92,0.0,1009.38,26.79,10.0,301.83,11.38,215.39,70.88,8.65,1.05,49.77,92.44,176.46,136.0,10.38,42.08,49.25,111.42,6.0
5,PM2.5,2015-04-10,196.75,2015.0,4.0,10.0,11.5,121.71,273.53,13.86,3.4,52.76,83.41,122.03,140.2,34.0,21.0,11.6,7.0,4.58,6.58,28.75,28.75,30.08,14.25,6.58,24.46,0.0,1007.88,27.88,10.0,289.58,10.79,197.87,87.59,11.35,2.6,61.11,124.69,169.58,190.58,13.62,86.54,62.79,144.17,6.0
6,PM2.5,2015-04-11,355.12,2015.0,4.0,11.0,11.5,252.82,448.37,51.16,5.47,26.7,184.96,80.33,91.17,35.0,22.0,11.6,7.0,4.83,6.83,32.12,32.12,33.58,7.04,13.83,19.88,0.0,1007.29,29.71,10.0,105.88,4.75,336.07,190.37,43.52,4.7,38.19,117.92,319.04,336.08,53.79,125.25,37.79,137.46,5.96
7,PM10,2015-04-12,424.91,2015.0,4.0,12.0,11.41,338.86,398.32,39.74,3.65,19.21,52.92,68.09,102.34,32.0,24.0,12.5,7.0,4.18,8.59,27.64,27.64,28.64,12.18,24.95,29.95,0.0,1010.91,27.27,10.0,62.95,9.91,443.19,270.22,26.66,2.84,29.12,177.32,419.14,181.59,32.82,77.82,28.68,196.73,5.91
8,PM2.5,2015-04-13,144.0,2015.0,4.0,13.0,11.5,62.57,119.6,15.53,1.32,44.01,6.82,50.97,56.3,37.0,23.0,11.9,7.0,4.79,6.17,32.17,32.17,33.04,13.21,42.54,21.71,0.0,1005.96,30.21,10.0,217.75,9.46,132.17,72.91,22.73,0.82,42.41,56.56,116.08,135.0,26.75,30.25,41.92,67.04,5.83
9,PM10,2015-04-14,114.33,2015.0,4.0,14.0,11.5,65.47,132.15,16.03,2.3,51.8,7.14,49.78,56.08,38.0,23.0,11.9,7.0,4.79,5.75,33.21,33.21,33.67,11.08,33.12,20.5,0.0,1005.88,30.75,10.0,184.21,7.71,117.95,61.54,15.98,2.06,49.97,54.05,111.67,103.29,19.5,66.62,49.96,66.88,6.0
10,PM2.5,2015-04-15,214.0,2015.0,4.0,15.0,9.85,148.77,176.44,14.63,1.79,21.03,7.24,85.62,68.93,39.0,24.0,12.9,7.0,2.54,6.08,30.31,30.31,31.46,10.38,19.0,22.92,0.0,1005.31,27.92,10.0,174.0,6.31,147.87,94.57,13.0,3.59,22.33,59.5,131.77,213.62,15.77,82.0,21.85,73.69,6.0
11,PM2.5,2015-04-16,253.67,2015.0,4.0,16.0,12.83,57.62,116.03,17.96,2.47,25.94,6.64,57.07,53.52,33.0,24.0,12.9,7.0,4.11,12.78,31.56,31.56,31.94,9.33,8.0,33.67,0.0,1011.22,29.94,10.0,255.89,7.78,154.75,107.2,16.3,1.7,28.76,66.07,136.17,253.33,19.89,27.28,28.22,82.0,6.0
12,PM10,2015-04-17,121.21,2015.0,4.0,17.0,11.5,68.55,181.67,19.87,3.3,52.96,7.67,52.25,58.88,35.0,24.0,12.9,8.0,4.75,12.25,32.25,32.25,32.83,14.62,2.04,29.83,0.0,1007.04,30.12,10.0,313.0,12.04,130.61,56.87,20.23,2.2,50.28,52.55,120.17,95.0,24.83,57.46,50.83,64.96,6.0
13,PM2.5,2015-04-18,262.54,2015.0,4.0,18.0,11.5,193.22,291.02,24.62,2.57,56.8,7.22,62.89,67.85,38.0,25.0,13.0,8.0,5.12,10.33,36.04,36.04,36.29,12.67,0.38,22.83,0.0,1002.29,32.42,10.0,301.88,10.71,245.51,124.85,22.74,3.39,59.35,66.78,229.08,259.67,27.92,86.5,61.33,82.92,6.0
14,PM2.5,2015-04-19,336.25,2015.0,4.0,19.0,11.5,125.8,311.31,18.38,7.56,65.35,8.18,65.44,70.12,41.0,27.0,13.0,8.0,5.42,8.58,38.17,38.17,38.38,11.46,3.67,17.5,0.0,1002.71,35.17,10.0,236.29,7.96,297.69,168.86,21.22,5.66,63.03,67.24,297.25,335.42,25.96,136.67,65.96,83.46,6.0
15,PM10,2015-04-20,332.92,2015.0,4.0,20.0,11.5,121.68,370.81,18.92,2.1,56.13,6.89,58.3,62.51,41.0,30.0,13.0,8.0,5.33,10.29,37.83,37.83,38.17,15.29,0.54,19.46,0.0,1005.17,34.92,10.0,138.38,13.25,355.06,126.59,16.32,4.21,59.41,68.82,332.83,300.96,19.92,80.46,59.62,85.5,6.0
16,PM10,2015-04-21,339.54,2015.0,4.0,21.0,11.5,107.83,363.42,24.66,2.12,57.58,6.99,52.54,58.55,39.0,28.0,13.0,8.0,5.17,6.29,35.21,35.21,36.08,18.38,1.0,17.71,0.0,1004.71,33.29,10.0,298.67,15.46,382.12,115.43,22.5,2.12,59.32,57.2,339.54,282.62,27.62,57.08,60.67,70.88,6.0
17,PM10,2015-04-22,303.12,2015.0,4.0,22.0,11.5,96.33,278.35,28.17,2.06,74.09,7.36,63.14,68.81,39.0,27.0,13.0,8.0,5.21,-0.04,34.46,34.46,35.79,21.62,0.33,11.67,0.0,1002.42,33.62,10.0,306.83,17.29,311.59,106.47,28.36,2.12,73.52,65.58,303.12,253.25,34.92,56.38,79.38,81.42,6.0
18,PM10,2015-04-23,277.96,2015.0,4.0,23.0,11.5,143.19,298.36,28.01,1.95,59.63,9.36,79.37,83.43,39.0,26.0,13.0,8.0,5.21,1.75,37.79,37.79,38.21,9.5,0.25,10.71,0.0,1003.0,33.42,10.0,206.04,8.0,272.61,104.54,27.54,2.22,69.78,75.7,265.92,240.88,33.96,67.83,73.04,94.04,6.0
19,PM2.5,2015-04-24,324.25,2015.0,4.0,24.0,11.5,136.91,304.28,30.33,3.79,43.99,8.71,107.15,108.3,40.0,28.0,13.1,8.0,5.21,0.04,39.08,39.08,39.25,8.12,0.0,8.96,0.0,1003.58,34.0,10.0,209.5,6.83,308.34,151.86,28.15,3.81,52.98,96.12,307.79,324.25,34.79,102.88,55.04,115.58,6.0
20,PM10,2015-04-25,317.62,2015.0,4.0,25.0,11.5,90.74,377.4,22.74,2.64,76.91,7.29,56.11,61.07,39.0,26.0,13.1,8.0,5.12,8.67,34.67,34.67,35.25,20.79,0.5,22.12,0.0,1004.58,32.75,10.0,114.33,17.5,336.24,115.93,27.92,3.55,66.24,93.47,317.25,278.75,34.38,94.0,70.12,112.46,6.0
21,PM10,2015-04-26,297.0,2015.0,4.0,26.0,11.43,70.21,213.88,32.87,8.75,90.4,6.78,27.22,37.62,36.0,25.0,13.1,8.0,4.38,13.29,32.71,32.71,32.95,19.62,0.0,32.33,0.0,1007.67,30.29,10.0,108.76,16.57,313.32,73.31,26.59,8.7,97.62,40.07,292.43,142.62,32.81,156.24,98.29,49.43,6.0
22,PM10,2015-04-27,171.58,2015.0,4.0,27.0,11.5,64.7,208.94,18.23,2.14,60.96,6.81,33.66,40.52,39.0,26.0,13.1,8.0,5.21,13.46,34.5,34.5,34.67,20.75,2.54,29.17,0.0,1005.83,33.33,10.0,121.04,16.67,208.0,66.29,23.96,2.22,62.07,38.6,171.58,118.58,29.54,66.96,61.62,47.71,6.0
23,PM10,2015-04-28,161.25,2015.0,4.0,28.0,11.5,69.71,163.47,21.21,1.23,93.43,6.69,28.64,35.6,40.0,26.0,10.7,8.0,4.92,7.04,36.21,36.21,36.54,13.54,33.67,18.88,0.0,1003.08,33.54,10.0,231.96,10.33,192.17,71.8,18.45,1.19,90.15,39.24,161.08,137.42,22.5,36.75,93.71,48.38,6.0
24,PM10,2015-04-29,130.75,2015.0,4.0,29.0,11.5,58.39,142.46,17.32,0.89,73.59,6.71,58.41,62.76,37.0,28.0,13.1,8.0,5.17,12.46,34.88,34.88,35.33,9.12,6.46,26.0,0.0,1004.21,33.21,10.0,173.83,7.5,141.87,59.65,19.48,1.22,74.57,44.46,127.58,99.75,23.83,52.17,77.17,54.96,6.0
25,PM10,2015-04-30,152.58,2015.0,4.0,30.0,11.5,63.32,176.19,20.93,1.11,102.8,3.71,68.1,67.61,40.0,29.0,13.1,8.0,5.42,8.12,35.58,35.58,36.46,16.83,6.21,19.33,0.0,1003.5,34.75,10.0,134.08,13.42,163.27,62.8,19.84,1.11,100.27,71.36,141.83,107.5,24.29,39.17,109.04,88.75,6.0
26,PM2.5,2015-05-05,308.0,2015.0,5.0,5.0,11.5,135.14,323.44,38.03,2.04,26.27,150.36,147.66,184.53,42.0,28.0,13.2,9.0,5.58,-0.29,40.62,40.62,40.25,10.04,0.0,8.38,0.0,1003.17,35.54,10.0,264.88,8.29,276.81,131.16,32.31,2.13,39.02,179.33,260.67,307.17,39.92,75.29,38.46,198.83,5.96
27,PM2.5,2015-05-06,281.6,2015.0,5.0,6.0,4.5,221.4,211.75,6.06,12.12,5.72,29.94,148.98,158.1,44.0,30.0,13.2,9.0,4.3,-0.7,36.8,36.8,37.8,14.5,1.7,9.1,0.0,1002.1,34.4,10.0,264.9,12.1,202.28,122.74,8.51,9.4,23.04,119.58,167.8,281.5,10.1,191.4,22.5,139.1,6.0
28,PM10,2015-05-07,289.75,2015.0,5.0,7.0,17.5,189.25,525.58,6.41,2.1,15.89,32.09,43.22,96.79,44.0,29.0,13.6,9.0,6.08,0.0,40.25,40.25,40.08,33.83,0.17,8.42,0.0,1001.17,39.42,10.0,286.25,23.67,299.69,117.19,5.6,1.66,17.44,99.74,284.92,277.92,6.5,39.42,16.92,119.33,6.0
29,NOx,2015-05-08,162.57,2015.0,5.0,8.0,11.3,63.66,100.96,7.12,1.47,48.37,29.07,56.29,129.51,43.0,30.0,13.6,9.0,5.48,1.09,37.39,37.39,38.0,20.35,18.22,10.26,0.0,1001.87,37.13,10.0,281.65,14.43,102.85,54.58,6.34,1.29,39.82,143.05,101.48,90.61,7.39,52.22,39.3,162.57,6.0
30,PM10,2015-05-09,186.73,2015.0,5.0,9.0,5.0,68.04,190.14,11.0,0.97,44.33,47.55,55.0,113.93,43.0,30.0,13.7,9.0,4.82,6.45,37.18,37.18,37.45,12.27,14.18,15.36,0.0,1002.36,35.36,10.0,256.27,8.0,230.89,77.24,10.92,1.85,39.43,123.81,186.73,155.91,13.0,67.27,38.91,143.36,6.0
31,PM2.5,2015-05-10,303.67,2015.0,5.0,10.0,11.5,132.87,314.94,21.83,4.42,40.27,127.7,139.19,223.36,42.0,30.0,13.7,9.0,5.67,7.88,43.75,43.75,42.33,10.88,0.88,13.33,0.0,1000.46,37.67,10.0,246.92,9.33,292.43,124.24,18.18,4.13,44.55,188.46,291.92,302.21,22.25,125.88,44.08,208.08,6.0
32,PM2.5,2015-05-11,358.42,2015.0,5.0,11.0,11.5,129.92,234.3,29.12,2.11,37.14,80.6,91.72,154.63,42.0,33.0,13.7,9.0,5.58,9.08,42.08,42.08,41.25,11.92,5.08,15.0,0.0,1002.08,37.75,10.0,193.88,9.29,347.29,194.81,33.58,3.12,39.35,123.38,328.79,339.5,41.5,79.92,38.83,143.0,5.96
33,PM2.5,2015-05-12,651.0,2015.0,5.0,12.0,9.11,527.62,490.5,44.8,4.92,23.9,86.39,67.85,106.2,39.0,31.0,13.7,9.0,5.67,12.06,36.67,36.67,37.17,8.33,12.0,22.5,0.05,1004.33,35.61,9.83,230.17,6.83,447.5,531.68,46.95,6.06,22.92,119.87,402.17,640.33,57.78,140.89,22.39,139.39,5.94
34,PM2.5,2015-05-13,239.29,2015.0,5.0,13.0,11.5,85.22,167.36,1.91,2.8,14.38,,,,37.0,30.0,13.7,8.0,4.67,19.29,36.96,36.96,34.17,9.17,22.21,43.08,0.0,1004.62,32.75,9.62,87.83,7.92,222.0,102.11,3.43,2.89,15.89,91.63,196.92,237.58,3.83,87.29,15.38,37.04,5.33
35,PM2.5,2015-05-14,162.83,2015.0,5.0,14.0,11.5,96.43,172.93,5.0,0.94,29.84,,,,37.0,27.0,13.7,8.0,5.12,13.79,34.54,34.54,34.62,7.71,10.46,30.08,0.0,1006.21,32.75,10.0,220.83,6.54,137.28,79.3,2.75,0.99,28.14,,124.62,162.83,2.92,35.0,27.62,0.0,5.0
36,PM2.5,2015-05-15,301.92,2015.0,5.0,15.0,11.5,108.54,209.59,5.44,9.62,20.71,12.83,73.24,78.43,39.0,29.0,13.7,8.0,5.12,12.25,35.25,35.25,35.75,13.42,9.21,25.0,0.0,1005.67,33.58,10.0,315.71,11.5,238.38,124.3,5.78,9.54,22.24,68.36,220.67,294.21,6.62,163.96,21.79,42.42,5.5
37,PM2.5,2015-05-16,184.12,2015.0,5.0,16.0,11.5,94.59,171.83,14.62,2.85,45.81,55.4,96.07,167.34,38.0,28.0,13.8,8.0,5.21,14.04,38.96,38.96,38.08,5.58,2.04,25.21,0.0,1003.17,33.75,10.0,169.5,4.79,159.76,85.71,9.93,2.48,49.57,104.15,139.62,184.12,11.83,77.79,50.25,123.54,6.0
38,PM2.5,2015-05-17,259.38,2015.0,5.0,17.0,11.5,102.9,196.65,12.09,1.43,58.97,9.8,49.41,62.91,41.0,30.0,13.8,9.0,5.46,11.92,41.58,41.58,40.46,9.92,0.92,19.54,0.0,1000.46,36.21,10.0,165.21,8.58,201.5,108.24,13.18,1.82,56.12,144.2,167.21,259.38,15.92,51.38,56.62,163.42,6.0
39,PM2.5,2015-05-18,158.71,2015.0,5.0,18.0,11.5,71.84,183.99,12.32,2.26,55.97,1.02,32.21,31.23,43.0,32.0,13.8,9.0,5.71,11.33,42.75,42.75,41.5,10.54,2.0,17.25,0.0,999.25,38.17,10.0,184.21,9.0,167.11,74.09,12.82,1.96,64.97,32.54,144.5,144.75,15.58,64.83,66.17,40.25,6.0
40,PM2.5,2015-05-19,227.08,2015.0,5.0,19.0,11.5,92.35,236.44,10.27,3.15,41.52,14.48,74.2,91.02,44.0,34.0,13.8,9.0,5.71,10.46,43.33,43.33,41.96,12.04,2.54,16.12,0.0,999.54,38.67,10.0,201.83,10.08,237.89,97.51,11.32,3.38,41.63,80.84,209.54,223.33,13.62,98.62,41.17,98.96,6.0
41,PM10,2015-05-20,152.12,2015.0,5.0,20.0,11.5,78.03,150.61,8.79,2.71,49.11,16.4,65.19,84.38,43.0,32.0,13.8,9.0,5.67,6.17,40.67,40.67,40.38,19.04,0.0,12.83,0.0,1000.79,37.75,10.0,291.96,16.33,172.85,72.93,9.76,2.53,49.25,60.56,148.21,141.21,11.71,74.17,49.46,75.04,6.0
42,PM10,2015-05-21,227.08,2015.0,5.0,21.0,11.5,96.39,293.05,16.08,3.13,54.06,10.1,51.05,63.94,44.0,31.0,13.8,9.0,5.71,-0.38,41.71,41.71,41.17,17.5,0.0,8.46,0.0,999.5,38.21,10.0,279.42,14.88,230.17,92.29,11.12,3.09,54.07,82.12,213.79,205.71,13.42,90.75,54.75,101.04,6.0
43,PM10,2015-05-22,218.54,2015.0,5.0,22.0,11.5,61.22,200.77,13.42,1.83,56.6,17.47,77.85,91.59,44.0,31.0,13.8,9.0,5.75,0.08,40.92,40.92,40.5,20.83,2.5,9.04,0.0,997.29,38.42,10.0,280.75,16.0,247.36,74.82,15.8,2.01,60.12,67.06,218.54,147.29,19.29,37.71,63.12,83.12,6.0
44,PM10,2015-05-23,217.38,2015.0,5.0,23.0,11.5,66.58,282.77,13.42,1.73,58.23,20.02,61.99,85.27,45.0,33.0,13.8,9.0,5.83,0.04,41.21,41.21,40.67,25.75,0.75,8.62,0.0,995.42,39.46,10.0,271.5,20.29,238.06,60.31,13.6,1.72,59.19,90.89,217.38,101.04,16.42,48.29,60.62,110.5,6.0
45,PM10,2015-05-24,241.67,2015.0,5.0,24.0,11.5,95.64,283.92,26.61,2.45,97.31,58.68,76.84,93.89,45.0,30.0,13.8,9.0,5.83,-1.33,43.25,43.25,42.0,16.88,1.0,7.04,0.0,996.25,38.92,10.0,227.58,13.54,256.57,75.99,22.11,2.08,97.73,89.7,240.58,151.46,27.21,50.92,103.46,109.12,6.0
46,PM10,2015-05-25,336.62,2015.0,5.0,25.0,11.5,110.3,399.83,11.9,1.93,50.46,67.71,77.2,155.23,46.0,31.0,13.9,9.0,5.92,0.38,42.92,42.92,41.75,20.5,2.25,8.29,0.0,996.04,39.38,10.0,245.46,15.62,364.21,116.86,16.81,2.49,48.39,174.04,336.62,284.21,20.42,73.38,48.0,193.54,6.0
47,PM10,2015-05-26,344.04,2015.0,5.0,26.0,11.5,111.08,320.9,15.51,1.03,59.37,15.32,60.98,77.72,46.0,32.0,13.9,9.0,5.79,-4.88,42.29,42.29,41.33,20.04,0.0,5.96,0.0,998.0,38.67,10.0,273.54,15.67,380.22,109.35,14.03,1.05,52.67,83.35,344.04,263.08,17.0,46.79,52.21,101.75,6.0
48,PM10,2015-05-27,268.04,2015.0,5.0,27.0,11.5,85.84,250.59,24.06,0.94,62.07,79.33,101.52,106.73,43.0,28.0,13.9,9.0,5.58,-5.42,39.83,39.83,39.83,17.96,0.38,6.12,0.0,1000.46,36.79,10.0,307.5,13.79,274.64,96.03,20.12,0.96,81.86,79.61,268.04,218.29,24.75,47.79,86.29,97.42,6.0
49,PM10,2015-05-28,356.95,2015.0,5.0,28.0,12.1,231.37,566.58,17.83,1.01,52.11,84.0,87.85,128.86,43.0,31.0,13.9,9.0,4.9,-4.15,39.9,39.9,39.7,13.0,4.9,6.3,0.0,998.6,36.95,10.0,217.9,9.05,362.1,153.98,21.66,0.95,55.26,152.2,350.4,315.15,26.6,44.95,55.1,171.7,6.0
50,PM10,2015-05-29,475.75,2015.0,5.0,29.0,11.5,93.03,297.93,11.66,12.21,62.25,77.82,76.08,131.02,43.0,31.0,13.9,9.0,5.67,3.92,40.62,40.62,40.04,14.08,2.92,12.96,0.0,1000.17,37.79,10.0,308.04,11.96,469.7,161.96,13.89,11.67,61.26,120.35,467.46,322.42,16.96,185.67,63.58,139.92,6.0
51,PM2.5,2015-05-30,251.88,2015.0,5.0,30.0,11.5,107.21,250.47,17.27,1.04,61.34,59.25,72.08,134.32,42.0,32.0,13.9,9.0,5.67,10.33,42.92,42.92,41.38,14.92,0.54,17.33,0.0,1000.83,38.04,10.0,295.33,12.62,253.94,97.65,14.91,1.87,62.15,129.19,223.62,223.83,18.08,64.67,64.54,148.75,6.0
52,PM10,2015-05-31,299.86,2015.0,5.0,31.0,12.05,86.18,331.53,14.22,1.04,64.64,23.61,54.65,83.58,43.0,32.0,13.9,9.0,5.73,8.32,41.18,41.18,40.64,14.73,1.77,14.82,0.0,999.36,37.95,10.0,248.32,12.86,299.47,96.3,16.34,1.04,58.19,124.42,294.55,219.14,19.95,49.32,58.18,143.91,6.0
53,PM10,2015-06-05,332.71,2015.0,6.0,5.0,11.5,149.89,361.71,35.42,3.47,46.22,96.59,121.47,212.07,39.0,30.0,13.9,8.0,5.25,12.17,37.17,37.17,37.12,11.33,4.21,23.29,0.0,1002.83,34.96,10.0,273.67,9.5,363.56,152.64,37.88,3.78,55.24,170.96,325.12,324.88,46.96,95.79,57.88,190.46,6.0
54,PM2.5,2015-06-06,314.5,2015.0,6.0,6.0,19.5,77.79,185.42,8.76,2.78,43.54,57.54,103.31,176.18,40.0,30.0,13.9,9.0,4.0,10.25,36.5,36.5,37.38,15.75,5.5,19.5,0.0,999.12,36.25,10.0,268.0,12.12,188.19,138.56,7.32,4.48,37.09,144.01,158.38,314.0,8.88,105.88,36.62,163.5,6.0
55,PM10,2015-06-07,324.17,2015.0,6.0,7.0,11.5,69.77,148.77,7.38,1.86,15.99,15.09,52.15,196.64,42.0,31.0,13.9,9.0,5.62,11.12,39.42,39.42,39.42,13.58,5.62,19.25,0.0,998.92,37.58,10.0,285.29,11.46,334.78,127.47,7.09,1.99,16.02,139.72,309.5,274.21,8.46,40.29,15.5,159.25,6.0
56,NOx,2015-06-08,173.83,2015.0,6.0,8.0,11.5,57.22,84.72,7.34,1.29,19.42,8.0,50.86,172.77,43.0,32.0,14.0,9.0,5.75,8.67,43.17,43.17,41.92,15.12,2.0,14.33,0.0,998.17,38.71,10.0,227.54,12.42,99.13,63.22,7.67,1.42,31.38,154.4,98.42,108.5,9.17,42.42,30.88,173.83,6.0
57,PM10,2015-06-10,320.12,2015.0,6.0,10.0,11.5,120.37,279.71,11.98,2.91,46.31,113.84,126.78,208.23,43.0,34.0,14.0,9.0,5.71,15.08,40.5,40.5,39.21,23.71,7.71,25.08,0.0,998.38,38.54,10.0,282.67,19.29,318.29,131.28,17.68,3.56,47.33,191.47,317.79,308.42,21.75,91.17,47.62,210.96,6.0
58,PM2.5,2015-06-11,218.62,2015.0,6.0,11.0,11.5,145.35,264.8,32.1,2.22,50.1,75.84,82.23,141.87,41.0,33.0,14.0,9.0,5.58,14.83,39.79,39.79,38.92,19.54,8.46,25.12,0.0,999.21,37.67,10.0,272.83,16.08,192.0,96.47,29.93,1.86,52.41,139.75,163.33,215.5,36.96,60.5,53.96,159.21,6.0
59,PM10,2015-06-12,560.73,2015.0,6.0,12.0,16.55,247.82,495.85,41.6,4.39,28.43,42.89,71.93,135.88,42.0,33.0,14.0,9.0,7.45,11.0,42.0,42.0,41.36,19.45,4.09,16.91,0.0,995.91,40.18,10.0,277.73,16.09,487.15,452.67,44.36,3.37,28.82,103.84,478.27,452.27,54.73,116.36,28.18,123.45,6.0
60,PM2.5,2015-06-13,202.46,2015.0,6.0,13.0,11.5,78.65,158.15,6.09,1.78,12.31,14.02,46.64,62.65,40.0,35.0,14.0,9.0,5.04,15.38,39.96,39.96,38.88,11.92,19.42,25.42,0.06,996.75,37.58,9.75,223.71,9.46,181.55,91.16,8.18,1.87,12.37,68.24,153.92,202.46,9.71,45.67,11.92,84.75,6.0
61,PM2.5,2015-06-14,127.12,2015.0,6.0,14.0,11.5,81.4,120.19,5.53,1.95,31.9,6.55,61.73,66.03,38.0,32.0,14.0,9.0,5.17,16.12,37.88,37.88,36.58,8.29,11.62,30.54,0.0,998.75,35.17,10.0,191.38,7.25,122.07,67.64,5.43,1.89,22.19,63.21,113.58,125.17,6.33,54.42,21.67,78.33,6.0
62,PM2.5,2015-06-15,216.5,2015.0,6.0,15.0,11.5,108.1,189.2,6.11,2.47,19.29,25.14,71.65,101.4,37.0,31.0,14.0,8.0,4.75,14.5,36.67,36.67,36.38,10.0,18.54,27.54,0.06,999.21,34.88,9.46,135.25,8.42,153.23,95.44,5.61,2.18,27.88,72.25,135.12,216.5,6.42,46.0,27.29,89.38,6.0
63,PM2.5,2015-06-16,305.75,2015.0,6.0,16.0,11.5,119.71,220.24,4.58,2.5,25.78,51.11,78.87,144.67,39.0,32.0,14.0,9.0,5.33,14.79,39.67,39.67,38.83,5.62,4.79,24.54,0.0,998.12,36.25,10.0,225.42,4.92,226.32,130.86,5.44,2.82,27.52,159.28,183.83,305.75,6.38,87.92,26.88,178.83,6.0
64,PM2.5,2015-06-17,309.0,2015.0,6.0,17.0,11.5,145.36,261.43,7.03,2.68,39.48,54.29,81.43,114.02,42.0,32.0,14.0,9.0,5.71,12.21,41.92,41.92,40.62,15.0,3.21,19.71,0.0,996.38,38.33,10.0,195.0,13.04,236.68,132.83,5.63,2.28,36.25,99.33,195.0,309.0,6.5,78.71,35.71,118.88,6.0
65,PM2.5,2015-06-18,305.33,2015.0,6.0,18.0,11.5,126.86,253.08,5.63,2.78,50.56,44.61,116.96,152.4,42.0,32.0,14.0,9.0,5.67,11.71,43.25,43.25,41.75,6.38,2.96,17.46,0.0,996.54,38.33,10.0,199.17,5.62,248.22,127.3,6.8,2.93,50.13,142.32,218.25,305.33,8.0,95.96,50.29,161.92,6.0
66,PM2.5,2015-06-19,298.38,2015.0,6.0,19.0,11.5,108.52,221.61,4.04,2.18,41.85,3.46,65.39,65.05,42.0,34.0,14.0,9.0,5.75,15.67,42.46,42.46,40.71,13.75,6.62,23.88,0.0,995.96,38.79,10.0,130.08,11.92,249.39,121.68,4.89,2.46,41.69,112.12,231.08,298.38,5.58,100.96,41.21,131.38,6.0
67,PM2.5,2015-06-20,181.21,2015.0,6.0,20.0,11.5,59.34,162.79,5.27,1.82,30.15,3.2,51.2,51.61,42.0,35.0,14.0,9.0,5.58,18.0,41.71,41.71,39.08,18.88,12.54,30.08,0.0,996.58,38.04,10.0,95.25,16.17,191.79,80.31,4.53,1.88,29.81,50.99,160.96,165.75,5.04,26.12,29.25,63.0,6.0
68,PM10,2015-06-21,118.8,2015.0,6.0,21.0,14.2,51.68,97.21,1.93,2.05,23.99,5.99,67.81,70.85,40.0,32.0,13.3,9.0,4.6,19.0,40.8,40.8,37.4,15.27,35.8,34.33,0.0,995.53,36.8,10.0,80.6,13.27,128.49,49.25,4.54,1.98,27.17,59.06,118.8,81.6,5.13,37.53,26.6,73.33,6.0
69,PM10,2015-06-22,102.67,2015.0,6.0,22.0,11.5,56.36,113.17,3.63,1.9,16.28,9.39,72.33,79.8,39.0,34.0,14.0,9.0,5.33,19.54,40.96,40.96,37.33,11.38,22.17,35.96,0.0,994.79,36.29,10.0,89.12,9.79,104.5,54.95,2.63,1.88,16.76,71.72,102.67,91.0,2.83,35.29,16.38,89.08,6.0
70,PM10,2015-06-23,123.83,2015.0,6.0,23.0,11.5,65.3,159.94,5.66,2.15,22.79,23.43,69.63,97.12,40.0,31.0,14.0,9.0,5.33,18.29,40.58,40.58,37.83,9.17,17.71,33.62,0.0,994.12,36.5,10.0,205.88,7.92,135.04,60.12,4.13,2.09,20.4,94.21,123.29,101.92,4.62,70.42,19.96,113.71,6.0
